price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna,price(NGN),price(millions_NGN),log_price_millions_NGN
"NGN GNGN  1,200,000,000",Luxury 5 Bedroom Semi-Detached House with Ample Parking Space,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/luxury-5-bedroom-semi-detached-house-with-ample-parking-space/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,True,,,,,,,,,,,1200000000.0,1200.0,7.090076835776092
"NGN GNGN  40,000,000",2 Bedroom Maisonette,Banana Island,Rent,rent,Maisonette,2.0,2.0,Rose,5 months ago,https://cwlagos.com/property/2-bedroom-maisonette-2/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,,True,,True,,,,40000000.0,40.0,3.6888794541139363
28935400000.0,A Luxuriously Built Fully Detached Waterfront 6 Bedroom Mansion with Waterfall,Banana Island,Sale,sale,Detached,6.0,6.0,Rose,1 year ago,https://cwlagos.com/property/a-luxuriously-built-fully-detached-waterfront-6-bedroom-mansion-with-waterfall/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,3880 sqm,True,,True,,,,28935400000.0,28935.4,10.272821038000862
"NGN GNGN  30,000,000",2 Bedroom Terraced House,Banana Island,Rent,rent,Terraced,2.0,2.0,Rose,7 months ago,https://cwlagos.com/property/2-bedroom-terraced-house/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,True,,,,,,,,,,30000000.0,30.0,3.4011973816621555
6510465000.0,6 Bedroom Fully Detached Waterfront Duplex + BQ,Banana Island,Sale,sale,Detached,6.0,6.0,admin-cw,7 months ago,https://cwlagos.com/property/6-bedroom-fully-detached-waterfront-duplex-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,True,,True,,,,6510465000.0,6510.465,8.781166161223144
"NGN GNGN  45,000,000",Furnished 2 Bedroom Waterfront Apartment,Banana Island,Rent,rent,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/furnished-2-bedroom-waterfront-apartment/,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,,,True,True,True,,,,45000000.0,45.0,3.8066624897703196
"NGN GNGN  550,000,000","Luxury, Well Maintained 2 Bedroom Upper Floor Apartment",Banana Island,Sale,sale,Apartment,2.0,2.0,Rose,6 months ago,https://cwlagos.com/property/luxury-well-maintained-2-bedroom-upper-floor-apartment/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,True,,,,,,,True,,True,,,,550000000.0,550.0,6.309918278226516
2170155000.0,Brand New 5 Bedroom Semi-Detached House with Water View,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/brand-new-5-bedroom-semi-detached-house-with-water-view/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,True,,,,,True,,True,,,,2170155000.0,2170.155,7.682553872555035
918698950.0,Luxury 2- & 4-Bedroom Apartments & Maisonettes with Pool,Banana Island,Sale,sale,Apartment,2.0,2.0,admin-cw,11 months ago,https://cwlagos.com/property/luxury-2-4-bedroom-apartments-maisonettes-with-pool/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,,True,,,,,918698950.0,918.69895,6.822958484357425
28935400000.0,A Luxuriously Built Fully Detached Waterfront 6 Bedroom Mansion with Waterfall,Banana Island,Sale,sale,Detached,6.0,6.0,Rose,1 year ago,https://cwlagos.com/property/a-luxuriously-built-fully-detached-waterfront-6-bedroom-mansion-with-waterfall/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,3880 sqm,True,,True,,,,28935400000.0,28935.4,10.272821038000862
"NGN GNGN  40,000,000",2 Bedroom Maisonette,Banana Island,Rent,rent,Maisonette,2.0,2.0,Rose,5 months ago,https://cwlagos.com/property/2-bedroom-maisonette-2/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,,,,,True,,True,,,,40000000.0,40.0,3.6888794541139363
"NGN GNGN  30,000,000",2 Bedroom Terraced House,Banana Island,Rent,rent,Terraced,2.0,2.0,Rose,7 months ago,https://cwlagos.com/property/2-bedroom-terraced-house/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,,True,,,,,,,,,,30000000.0,30.0,3.4011973816621555
