listing_url,title,location,property_type,beds,baths,status,post-date-absolute,price(millions_NGN),log_price_millions_NGN,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
https://cwlagos.com/property/3-bedroom-apartment-bq-3/,3 Bedroom Apartment + BQ,Banana Island,Apartment,3.0,3.0,Rent,2025-06-21,30.0,3.4011973816621555,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
https://cwlagos.com/property/terrace-for-sale-in-banana-island-ikoyi/,TERRACE IN BANANA ISLAND IKOYI,Banana Island,Terraced,5.0,5.0,Sale,2025-06-21,3616.925,8.193379496321025,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/waterfront-land-in-banana-island-ikoyi-2/,"Waterfront Land in Banana Island, Ikoyi",Banana Island,land,0.0,0.0,Sale,2025-07-21,3.5,1.252762968495368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/waterfront-land-in-banana-island-ikoyi/,"Waterfront Land in Banana Island, Ikoyi",Banana Island,land,0.0,0.0,Sale,2025-07-21,3.2,1.1631508098056809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/brand-new-5-bedroom-semi-detached-house-with-water-view/,Brand New 5 Bedroom Semi-Detached House with Water View,Banana Island,Semi Detached,5.0,5.0,Sale,2024-11-18,2170.155,7.682553872555035,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
https://cwlagos.com/property/six-bedroom-fully-detached-house-in-banana-island/,Six Bedroom Fully Detached house in Banana Island,Banana Island,Detached,0.0,0.0,Sale,2025-06-21,5200.0,8.556413904569519,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
https://cwlagos.com/property/lands-measuring-1201-and-1386sqm-in-banana-island/,Lands Measuring 1201 and 1386sqm in Banana Island,Banana Island,land,0.0,0.0,Sale,2025-07-21,3.2,1.1631508098056809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/joint-venture-opportunity-residential-waterfront-land-in-banana-island/,Joint Venture Opportunity – Residential Waterfront Land in Banana Island,Banana Island,land,0.0,0.0,Joint Venture,2025-07-21,4.0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/land-measuring-two-plots-of-500-sqm/,Land Measuring Two Plots of 500 sqm,Banana Island,land,0.0,0.0,Sale,2025-06-21,1800.0,7.495541943884256,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/6-bedroom-detached-house-in-banana-island/,6-Bedroom Detached House in Banana Island,Banana Island,Detached,6.0,6.0,Sale,2025-09-19,7233.85,8.88652667688097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-detached-house-in-banana-island/,5-Bedroom Detached House in Banana Island,Banana Island,Detached,5.0,5.0,Sale,2025-09-19,7233.85,8.88652667688097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-bq-banana-island/,4-Bedroom + BQ | Banana Island,Banana Island,Apartment,4.0,4.0,Rent,2025-09-19,50.0,3.912023005428146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bed-waterfront-maisonette-in-ikoyi/,4-Bed Waterfront Maisonette in Ikoyi,Banana Island,Maisonette,4.0,4.0,Sale,2025-09-19,1446.77,7.27708876444687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/1-bedroom-apartment/,1 Bedroom Apartment,Banana Island,Apartment,1.0,1.0,Rent,2025-04-22,11.0,2.3978952727983707,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-a-pool/,Luxury 4 Bedroom Maisonette with a Pool,Banana Island,Maisonette,4.0,4.0,Rent,2024-11-18,60.0,4.0943445622221,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
